NIT Proveedor,Proveedor, Fecha,Hora Pico,Trafco_Internacional,Trafico_Datos_NAPs,Trafico_Datos_Peering_Directo,Trafico_Datos_Local,Trafico_Datos_Total_Dia
830016046,AVANTEL,6/27/2020,22:00,0.0099,68274702,3847.72,0,"198795,64"
830016046,AVANTEL,6/28/2020,22:00,0.0099,64767002,3683.46,0,"203416,13"
830016046,AVANTEL,6/29/2020,22:00,0.0099,66747002,4000.49,0,"196650,91"
800132211,HVTV,5/30/2020,18:00,0,0,26271,21454,680097
800132211,HVTV,5/31/2020,18:00,0,0,25420,21558,684882
800132211,HVTV,6/1/2020,18:00,0,0,23926,18777,606960
800132211,HVTV,6/2/2020,18:00,0,0,23715,19669,605739
800132211,HVTV,6/3/2020,18:00,0,0,26374,19025,624963
800132211,HVTV,6/4/2020,18:00,0,0,29128,19283,608569
800132211,HVTV,6/5/2020,18:00,0,0,23409,18099,596959
800132211,HVTV,6/6/2020,18:00,0,0,23976,19220,605707
800132211,HVTV,6/7/2020,18:00,0,0,27625,19728,643420
800132211,HVTV,6/8/2020,18:00,0,0,25776,19851,609336
800132211,HVTV,6/9/2020,18:00,0,0,25578,20063,620697
800132211,HVTV,6/10/2020,18:00,0,0,25632,18805,636886
800132211,HVTV,6/11/2020,18:00,0,0,26122,20496,663638
800132211,HVTV,6/12/2020,18:00,0,0,25281,19651,679557
800132211,HVTV,6/13/2020,18:00,0,0,24538,20064,649922
800132211,HVTV,6/14/2020,18:00,0,0,26829,20771,673207
800132211,HVTV,6/15/2020,18:00,0,0,26437,21269,660452
800132211,HVTV,6/16/2020,18:00,0,0,22554,20511,605491
800132211,HVTV,6/17/2020,18:00,0,0,26640,20358,658173
800132211,HVTV,6/18/2020,18:00,0,0,26509,21181,658692
800132211,HVTV,6/19/2020,18:00,0,0,25330,19089,660171
800132211,HVTV,6/20/2020,18:00,0,0,25843,21479,691264
800132211,HVTV,6/21/2020,18:00,0,0,26905,21657,671025
800132211,HVTV,6/22/2020,18:00,0,0,26793,22591,684126
800132211,HVTV,6/23/2020,18:00,0,0,27868,19809,648918
800132211,HVTV,6/24/2020,18:00,0,0,26361,20012,636260
800132211,HVTV,6/25/2020,18:00,0,0,26968,20031,638323
800132211,HVTV,6/26/2020,18:00,0,0,25447,18510,632286
800132211,HVTV,6/27/2020,18:00,0,0,25767,20364,651229
800132211,HVTV,6/28/2020,18:00,0,0,27333,20830,686415
800132211,HVTV,6/29/2020,18:00,0,0,29164,21227,680454
800132211,HVTV,6/30/2020,18:00,0,0,27040,20334,633096
800132211,HVTV,7/1/2020,18:00,0,0,27603,19615,639500
800132211,HVTV,7/2/2020,18:00,0,0,26680,19071,629737
800132211,HVTV,7/3/2020,18:00,0,0,25407,18045,620352
800132211,HVTV,7/4/2020,18:00,0,0,26689,20092,648550
800132211,HVTV,7/5/2020,18:00,0,0,27580,20930,656780
800132211,HVTV,7/6/2020,18:00,0,0,27067,19965,623343
800132211,HVTV,7/7/2020,18:00,0,0,28566,19053,651942
800132211,HVTV,7/8/2020,18:00,0,0,27414,21302,626540
800132211,HVTV,7/9/2020,18:00,0,0,27594,20123,659048
