fecha,metro,metrobus,tren_ligero,trolebus,rtp,ecobici,mexibus,mexicable,tren_suburbano
31/05/2020,-71.92946994,-67.81082233,-90.45286074,-69.62699392,-65.43347826,-72.38306025,-56.41029963,-45.19402985,-67.41843129
01/06/2020,-67.24006069,-68.72679432,-90.53272503,-57.74558624,-50.3916241,-78.20797705,-54.91598344,-49.33027969,-71.88002027
02/06/2020,-69.90701547,-72.03748788,-91.00308335,-59.70229208,-52.81193491,-78.58392982,-60.14432914,-52.47384789,-73.98921582
03/06/2020,-69.71126558,-71.64772537,-91.78552383,-60.87160875,-53.71816366,-79.32062728,-59.58550878,-50.23861638,-73.64637148
04/06/2020,-70.00526977,-73.09849968,-91.19666247,-62.33240608,-54.11590059,-78.97188288,-60.27630857,-51.35210677,-74.2503058
05/06/2020,-69.05332768,-72.48952804,-91.55574001,-58.53730697,-51.92845455,-76.29074764,-58.47959743,-50.60760744,-73.47878996
06/06/2020,-68.36194068,-70.52534461,-89.37357114,-60.49707541,-56.94310139,-61.3028731,-53.05385257,-52.97053394,-66.0913312
07/06/2020,-70.82074636,-66.8809206,-90.37850194,-68.06607899,-63.62419067,-66.46877076,-57.97104808,-44.65671642,-66.89498704
08/06/2020,-66.20293573,-70.21732506,-89.76921747,-60.49917985,-51.69018742,-80.52506755,-55.3989506,-53.33472135,-71.5236822
09/06/2020,-68.44469707,-71.23112097,-90.84168512,-59.80524597,-52.54353598,-79.64704414,-60.40556628,-51.70342098,-73.39068581
10/06/2020,-69.127996,-71.15183437,-90.70970894,-58.84837528,-51.87150622,-78.40791436,-57.91448235,-49.59991388,-72.8228371
11/06/2020,-69.15188881,-72.03247186,-91.22355869,-60.16324732,-52.57730073,-79.10261723,-59.33098654,-51.76437705,-73.70872422
12/06/2020,-67.26856589,-71.65623157,-89.74406241,-57.32484209,-50.22218029,-76.18139088,-58.05003339,-50.3836654,-72.85287443
13/06/2020,-67.28105223,-68.21352736,-88.52907672,-60.18896711,-52.54451335,-59.45943909,-50.54205967,-49.65474807,-64.35651415
14/06/2020,-69.66530453,-62.53186236,-87.38024875,-62.60238926,-62.15261681,-61.21444491,-56.68970458,-52.91343284,-65.38623596
15/06/2020,-63.45312814,-66.38551591,-87.12866267,-53.23318084,-47.5472792,-76.20717651,-52.25985378,-39.89867444,-70.00291108
16/06/2020,-65.05489723,-69.21829422,-87.1667716,-58.26676515,-49.42537961,-76.71512195,-57.06558806,-40.83969466,-71.85366074
17/06/2020,-66.18965064,-69.69971501,-87.50068928,-57.80295294,-49.75337869,-77.38976169,-56.17140444,-40.47149162,-71.26134407
18/06/2020,-65.71066493,-70.70184849,-88.79979608,-58.10305331,-50.37138088,-76.45105647,-56.77380552,-39.64782335,-71.66445191
